"bonica_rid","hvv_total","mean_age","pct_65_plus","pct_75_plus","ratio_u40_o75","high_volume_vendor_pct","political_spending_pct","fundraising_spending_pct","consulting_spending_pct","overhead_spending_pct","payroll_spending_pct","admin_ops_spending_pct","other_political_spending_pct","other_consulting_spending_pct","ie_spending_pct","cand_contrib_spending_pct","cand_support_pct","transfer_out_pct","listaq_pct","list_data_spending","overlap_pct_weighted","overlap_donations_pct_weighted","fundraising_inefficiency","fundraising_inefficiency_full","pct_spam_donations_100plus","pct_spam_donations_10plus_distinct","pct_spam_either_100n_10d","pct_overall_donations_100plus","pct_overall_donations_10plus_distinct","pct_overall_either_100n_10d","n_spam_donations_100plus","n_spam_donations_10plus_distinct","refund_rate","total_donors","total_donations","n_refunds","log_n_refunds","total_indv_contribs","total_fundraising","total_fundraising_consulting","total_other_consulting","total_payroll","total_admin_ops","total_other_political","candidate_contributions","independent_expenditures","total_raised","mean_donations_per_donor","pct_donors_repeat","pct_raised_repeat","pct_donors_high_freq","pct_raised_high_freq","total_receipts","total_disbursements_fec","cash_on_hand","cycles_included","committee_name","fec_committee_id","cmte_type","cmte_state","party"
"comm24091",85421873.34,71.06141802,0.795121839,0.422856001,4.532698668,0.066270358,0.004098383,0.079921584,0.030928895,0.026958387,0.008486642,0.018466665,0.003714864,0.030925016,0.388733701,0.109410544,0.109410544,0.317191589,0,0,0.306669454,0.344747909,0.94137614,0.114376207,0.293669164,0.396755906,0.431853668,0.573293608,0.779777824,0.795627156,353162,489980,0.018000321,573055,1337322,9645,9.174298601,76507334.9,103018177,5000,39862057.59,10939202.69,23803358.72,4788424.57,141029171,501074115.5,621259477.1,2.624630152,0.005865379,0.004983515,0.000130286,0.000201907,1323126887,1288990674,35932249.16,"2018, 2020, 2022, 2024, 2026","senate majority pac","C00484642","O","DC",100
"comm7360",1773489.84,60.4332193,0.472672594,0.189219356,1.39878508,0.010637848,0.106555303,0.061587257,0.00071177,0.009182639,0.000882546,0.008033875,0.010078904,0.00071177,3.24905e-05,0.000157564,0.000157564,0.004144371,0.00166744,218312.5,0.107603374,0.090414994,0.360043404,0.158026363,0.134985281,0.212203174,0.221203231,0.552862822,0.740470461,0.755154191,148968,233318,0.003461033,554113,1316591,2837,7.950854858,38083569.36,10267525.42,0,118662.81,147133.74,1339368.32,1680305.41,26268.36,5416.65,79082005.13,3.143310427,0.015602735,0.081555975,0.000117873,0.001789164,167025168.4,166715095.7,2309351.02,"2018, 2020, 2022, 2024, 2026","democratic party of wisconsin","C00019331","Y","WI",100
"comm120227",6676653.21,73.31463014,0.853646261,0.510862146,5.956233308,0.387047419,0.009312365,0.476647904,0.03418182,0.221078556,0.161845546,0.062487813,0.007313656,0.03418182,0.199991998,0.065417356,0.066871153,0,0.000261735,3350,0.375364931,0.44905228,0.468567212,0.543326046,0.606274439,0.719021169,0.755925459,0.814305918,0.927561416,0.93670266,766194,884734,0.046421095,310935,1215166,15901,9.674200166,17946084.66,8222281.3,0,589643.92,2791871.31,1077928.54,126162.17,1128463.8,3449906,18938098.66,3.641284635,0.018111591,0.212861629,0.001568559,0.052455566,18829366.54,16655543.73,2197790.3,"2018, 2020, 2022, 2024, 2026","progressive action pac","C00513176","Q","DC",100
"comm146846",6430357.11,75.41396319,0.907873475,0.594926552,8.920561269,0.638528818,0.062243669,0.711733195,0.000727656,0.069502325,0.056986565,0.012484717,0.05526916,0.000727656,0.042946594,0.150388521,0.150388521,0.010426408,0,0,0.488564102,0.55501824,0.542153667,0.598600422,0.679519144,0.836794487,0.84697634,0.80471028,0.936304481,0.938365346,822532,1004016,0.057746841,309854,1198633,17400,9.764282955,13758176.53,7167567.83,0,7327.92,573887.9,125728.37,556592.63,1514500,432497.22,13876925.53,3.779068674,0.020029234,0.220776739,0.001645138,0.051185607,13166937,10070582.46,3096278.1,"2018, 2020, 2022, 2024, 2026","medicare for all","C00685552","N","WA",328
"comm136416",2659463.48,70.16792914,0.763167026,0.390653799,4.333756276,0.043786081,0.005525739,0.112514184,0.001531884,0.057912215,0.023153088,0.034759128,0.002787115,0.001531884,0.338049911,0.022427854,0.022427854,0,0,0,0.196865537,0.174121595,0.251159415,0.46775577,0.257850803,0.393982331,0.41143283,0.673922078,0.78649115,0.830475689,277008,417512,0.016759985,393710,1165066,5978,8.696008609,30098088.77,6833846.59,0,93043,1406264.02,2111187.56,169282.81,1362215.03,20532355.53,31620558.27,3.108267101,0.012775318,0.085757018,5.06675e-05,0.000573447,61282740.96,60737645.2,2378982.27,"2018, 2020, 2022, 2024, 2026","americans for responsible solutions pac","C00540443","W","DC",328
"comm156141",735109.68,55.01206874,0.345136748,0.109523532,0.704117872,0.005181509,0.334097547,0.045066547,0.006257165,0.107485991,0.012760862,0.094702322,0.028552221,0.006216635,0,0.002980777,0.003275573,0,0,0,0.087187101,0.068181604,0.143478957,0.152371476,0.080233886,0.118263164,0.131085628,0.478658821,0.650598005,0.682588514,78267,123453,0.008732126,538081,1122552,2630,7.875119281,43204098.71,6393669.28,5750,881964.8,1810405.65,13435582.77,4050753.13,422888,0,49967937.51,9.63055758,0.078094371,0.216352895,8.95633e-05,0.00109166,131571436.7,131209987.8,1336632.66,"2020, 2022, 2024, 2026","fair fight","C00693515","V","GA",328
"comm21928",5170792.4,71.61407106,0.824704063,0.4250807,5.285578337,0.044633354,0.005973247,0.11859886,0.013018885,0.008606656,0.000261402,0.008321662,0.007726398,0.009526259,0.634680732,0.021448348,0.021448348,1.03582e-05,0.006396702,1027987.63,0.319023916,0.349664566,0.485621789,0.436949643,0.366260402,0.515984093,0.549377782,0.677225397,0.866612155,0.873704298,391388,537434,0.01228287,354545,1051122,4217,8.347116361,29494943.03,13739726.7,404622.21,1103620.98,30283.51,964067.94,895106.35,2484800,73528024.01,35271194.11,2.991160871,0.012088929,0.119518436,0.000295891,0.007088552,129001673.8,115850411.6,13491513.8,"2018, 2020, 2022, 2024, 2026","votevets","C00418897","W","DC",328
"comm147644",11096230.81,73.67842427,0.854622225,0.530428315,7.09259937,0.462082087,0.021074239,0.532511948,0.030490525,0.110066174,0.099001221,0.01105187,0.014504936,0.030490525,0.271966994,0.048320638,0.048973,0,0.000144764,9000,0.383969099,0.450211629,0.694988895,0.682545267,0.585337651,0.744420717,0.758761061,0.781795898,0.927886055,0.931119269,561760,725310,0.063789881,345282,1041346,17032,9.742907918,17875957.48,12787501.73,0,732185.72,2377370.66,265394.63,348314.99,1160350,6530892.71,18761907.48,3.334961861,0.014818546,0.162153691,0.001115688,0.036222778,24106542.7,23698364.36,462595.34,"2020, 2022, 2024, 2026","voter protection project","C00692319","W","WA",328
"comm209007",7991311.62,72.90238924,0.844401353,0.493495062,6.296208622,0.366812509,0.002237694,0.446573412,0,0.051562766,0,0.051562766,0.002237694,0,0.008719157,0,0,0.493833492,0,0,0.471957646,0.535413812,0.528691017,0.486499561,0.488628091,0.697293363,0.702964943,0.64245415,0.857123538,0.860098196,506678,724414,0.083771604,331336,1040237,24993,10.12639108,18596460.24,9728968.36,0,0,0,1123337.18,48750,0,189954,18870656.24,3.466003506,0.015013689,0.165765759,0.001093953,0.033838392,22035530.17,21785820.89,918470.53,"2024, 2026","stop these oppressive people: tyrants racists unqualifieds misogynists propagandists (stop trump)","C00847673","V","IL",328
"comm152121",85602.19,76.60948968,0.927097627,0.657735915,11.90288098,0.005360976,0.00018788,0.00726264,0,0.00054019,0,0.00054019,0,0,0.038570229,0.005630133,0.005630133,0,0,0,0.399656111,0.485753659,0.01025318,0.334366174,0.827836606,0.918782189,0.92829644,0.936938695,0.983519541,0.984785879,708082,785940,0.03,139536,864128,13877,9.538060131,15813182.87,115967.29,0,0,0,8625.57,0,89900,615875.94,16361609.87,6.118393125,0.047796933,0.304757866,0.004785263,0.075591999,16342738.21,15967650.6,375087.61,"2020, 2022, 2024, 2026","march on pac","C00748228","V","MD",328
