"","Name","bonica_rid","pct_age_65plus","N"
"280","larsen, rick","cand865",0.759413509812871,17528
"281","macy, beth","cand176294",0.758926431823628,4173
"282","farooqi, aisha","cand171483",0.758883248730964,2758
"283","mcgovern, james p","cand1455",0.758797105066134,32056
"284","sites, jeffrey alan","cand150001",0.758468275791832,49095
"285","pou, nelida","cand156808",0.758419057931781,9235
"286","schultz, debbie wasserman","cand927",0.757796230394095,37935
"287","sullivan, maura corby","cand142564",0.757193434180882,15535
"288","edwards, donna f","cand1027",0.756673753838885,4233
"289","busch valentine, trudy","cand216013",0.756575496440615,26690
"290","sage, nathan","cand167596",0.756433719695429,44259
"291","conaway, herb","cand190994",0.756399554813578,7188
"292","pelosi, nancy","cand760",0.756337606155313,2286155
"293","buttigieg, pete","cand170761",0.755995580282609,205443
"294","bradstock, david alan","cand173290",0.755868544600939,426
"295","winder, bayly philip christoper","cand169056",0.755764304013664,2342
"296","van ostern, kevin colin","cand219225",0.75568317779373,4179
"297","martinez, tekesha","cand218989",0.755588383936555,25723
"298","suozzi, thomas","cand134809",0.755571348118748,74578
"299","udall, tom","cand1528",0.75552195280013,18517
"300","peterson, david","cand138116",0.755208333333333,192
"301","lee, elizabeth","cand172646",0.754827875734677,1191
"302","barca, peter william","cand1564",0.754682335659199,10892
"303","riley, josh","cand213947",0.754578626470348,171558
"304","simitian, s joseph","cand35215",0.754402817803394,3123
"305","kunce, lucas","cand215998",0.754303627786503,660954
"306","swartz, jessica","cand219026",0.754173954523772,25156
"307","schneider, jan","cand41469",0.753623188405797,138
"308","stahl, judith","cand210744",0.753507014028056,2994
"309","grijalva, raul m","cand873",0.752384099707299,42364
"310","foushee, valerie","cand126232",0.75227831048419,12619
"311","james, christopher lee","cand169944",0.752089136490251,718
"312","manley, elijah","cand216368",0.751890359168242,29624
"313","galan woods, marlene","cand218207",0.751840847435732,7741
"314","pappas, chris","cand142567",0.751709976925613,145616
"315","stille, becky lynn","cand165032",0.751677852348993,149
"316","gordon, mark robert","cand169939",0.751637279596977,1985
"317","grijalva, adelita","cand164700",0.751552795031056,1932
"318","osborn, dan","cand223446",0.751484630477436,305800
"319","peterson, lynn","cand219550",0.751424132573796,1931
"320","cantwell, maria","cand1561",0.751117994048966,114938
"321","witt, gloria tinsley","cand219910",0.751022494887526,1956
"322","rosen, jacky","cand137579",0.750814379735025,1234682
"323","van hollen, chris","cand896",0.750672324149883,50199
"324","cowen, josh","cand170051",0.750578703703704,1728
"325","gutierrez, roland","cand111801",0.750553648543904,36124
"326","cleaver, emanuel ii","cand940",0.750361495558769,9682
"327","pocan, mark","cand45555",0.7498635161051,71437
"328","green, amanda marie","cand171435",0.749723145071982,903
"329","stratton, juliana","cand167601",0.749563738869748,22349
"330","schakowsky, janice d","cand1515",0.749179471878264,26812
"331","clark, katherine","cand131167",0.74913749041656,31304
"332","delauro, rosa l","cand1198",0.748857195099653,21876
"333","cabrera, ming a","cand185802",0.748717948717949,195
"334","neguse, joseph","cand141077",0.748670590623097,49270
"335","blood, carol","cand188943",0.748042704626334,1405
"336","george, jane anne","cand201059",0.747302471284372,2873
"337","barr, callie","cand219017",0.747301895964998,10285
"338","brooks, bob","cand173273",0.747194793536804,8912
"339","friese, randall s","cand159803",0.746313202247191,5696
"340","villegas, randy","cand164812",0.746266657737896,14933
"341","ballard, jack","cand150206",0.745071380013596,1471
"342","mcmorrow, mallory","cand167618",0.744667170181061,97978
"343","wendell, barry lee","cand213379",0.744360902255639,133
"344","preston, willie junior mr","cand170031",0.744257274119449,653
"345","kroemer, kurt","cand218206",0.744222483352918,2553
"346","mcgowan, jacqueline marie","cand211617",0.74390243902439,656
"347","klein, matthew david","cand167703",0.743716814159292,2825
"348","hurst, glenn","cand215890",0.74361820199778,2703
"349","goldman, mo","cand164647",0.743302678928429,2501
"350","stabenow, debbie","cand1458",0.743266165413534,166250
"351","tranel, monica","cand212094",0.743205019832239,61516
"352","williams, shonique","cand175479",0.743016759776536,179
"353","cleveland, russell tyler","cand165019",0.742201505916099,2789
"354","holden, steven wesley sr","cand212547",0.741480611045828,4255
"355","forsythe, logan","cand173645",0.740893470790378,1455
"356","pettersen, brittany louise","cand140575",0.740665719382048,33077
"357","bera, amerish","cand35060",0.74047691733659,29481
"358","alsobrooks, angela","cand223359",0.740468019520573,312081
"359","spence, allen l jr","cand168238",0.740384615384615,104
"360","james, wanda","cand172667",0.74,1300
"361","stelson, janelle","cand219581",0.73973898520522,67659
"362","morse, andrea s","cand219398",0.738781466618023,2741
"363","huffman, jared","cand40450",0.738699007717751,13605
"364","hendricks, darryl p","cand147700",0.738446932678078,35813
"365","alex, nicholas francis mr.","cand167670",0.73841961852861,367
"366","wahls, zach p","cand169226",0.738275340393343,27762
"367","stevenson, cherlynn","cand168263",0.738112927191679,5384
"368","grage, rachel","cand174392",0.737967914438503,187
"369","franz, hilary","cand219989",0.737824305871643,4394
"370","booker, cory a","cand132239",0.73741658078583,754922
"371","degette, diana l","cand1436",0.737301144292492,14332
"372","pearson, justin j.","cand174557",0.737161897295178,15306
"373","collier, matt","cand219039",0.736669401148482,1219
"374","barringer, paul","cand168277",0.736638264910922,1291
"375","coleman, tayhlor","cand168313",0.736347087378641,3296
"376","defazio, peter a","cand723",0.735951051443507,67336
"377","powell, jonathan a","cand140767",0.735849056603774,477
"378","cooke, rebecca","cand213351",0.735673121415651,142634
"379","white, doug","cand213307",0.735474557921328,5542
"380","marshall, erin","cand218896",0.734922178988327,4112
"381","schulte, chris","cand165020",0.73469387755102,1029
"382","blalock, clarence","cand218751",0.734121122599705,677
"383","takano, mark","cand145453",0.734008765800673,31486
"384","kale, andrea doria","cand211294",0.733333333333333,210
"385","durbin, richard j","cand607",0.733188481098358,127026
"386","rave, rodney","cand176303",0.732876712328767,292
"387","wagenhauser, david","cand219436",0.732745961820852,681
"388","slaughter, louise m","cand756",0.732547597461469,3309
"389","king, angus stanley jr","cand135344",0.732190547170983,16101
"390","gagnier, christina","cand164853",0.731797565051325,8378
"391","beck, andrew","cand167527",0.731481481481482,108
"392","ruby, daniel","cand219533",0.731481481481482,216
"393","helmer, daniel","cand140780",0.731177173588288,13388
"394","spidel neumann, sandy","cand175295",0.730593607305936,876
"395","chakalian, paul","cand164830",0.730427046263345,1124
"396","peguero, robin","cand169986",0.730288200108755,3678
"397","hunt, cheyenne","cand218448",0.729865771812081,5364
"398","chan, connie","cand175462",0.729748127978216,1469
"399","demings, valdez val","cand215851",0.729710434752453,2162725
"400","lamondin, richard","cand168241",0.729150428682775,2566
"401","dean, madeleine","cand144769",0.728713097002166,26319
"402","babb tomlinson, lauren","cand175456",0.728682170542636,1161
"403","treble, jonathan","cand164561",0.728377557220984,4937
"404","murphy, christopher s","cand972",0.728167940284747,846015
"405","williams, john andrew","cand168262",0.728033472803347,478
"406","valimont, jennifer gay","cand218582",0.728001252152137,63890
"407","berge, emily","cand167525",0.727622909275215,9865
"408","steiner, max","cand210799",0.727167246809216,12066
"409","shoffner, hallie","cand173516",0.726869806094183,18050
"410","williams, marsha viriginia","cand155882",0.726814516129032,992
"411","peters, scott","cand41113",0.72596060703907,30970
"412","o halleran, tom","cand6796",0.725694058635851,62999
"413","whitesides, george","cand218370",0.725513420753204,107222
"414","mujica, hector daniel","cand175272",0.725331170586645,3699
"415","kirwan, michael","cand172681",0.725175526579739,997
"416","crow, jason","cand140573",0.724879513695478,165164
"417","genant, pamela","cand219197",0.724665391969407,523
"418","wyden, ronald l","cand558",0.724397628465165,118573
